N,Q,r,linear_scan_total_s,MIH_build_s,MIH_queries_total_s,MIH_recall_vs_linear,LSH_build_s,LSH_queries_total_s,LSH_recall_vs_linear,m,L,k,seed
20000,200,3,0.09454239998012781,0.019718299969099462,0.00290089996997267,1.0,0.45196540001779795,0.006126999971456826,1.0,4,12,16,0
50000,200,3,0.2671914999373257,0.058669600053690374,0.0019280000124126673,1.0,1.1619659999851137,0.007924800040200353,1.0,4,12,16,0
100000,200,3,0.5871813999256119,0.1593540000030771,0.0024169000098481774,1.0,2.3833129999693483,0.007120200083591044,1.0,4,12,16,0
