algo,dataset,N,r,qps,avg_ms,avg_hits,total_s,wall_s,rc
qadp_normal,sift_half,500000,4,260.8,3.835,0.0,0.038,0.880835699965246,0
qadp_small,sift_half,500000,4,198.5,5.037,0.0,0.05,0.8916051000123844,0
mih,sift_half,500000,4,1511.6,0.662,0.0,0.007,0.716600899992045,0
linear_scan,sift_half,500000,6,1934.6,0.517,0.0,0.005,0.7160180999781005,0
qadp_normal,sift_half,500000,6,239.3,4.178,0.0,0.042,0.887583400006406,0
qadp_small,sift_half,500000,6,195.7,5.111,0.0,0.051,0.8947797000291757,0
mih,sift_half,500000,6,1719.9,0.581,0.0,0.006,0.71541950001847,0
linear_scan,sift_half,500000,8,2088.6,0.479,0.0,0.005,0.7003436000086367,0
qadp_normal,sift_half,500000,8,176.3,5.673,0.0,0.057,0.9021523999981582,0
qadp_small,sift_half,500000,8,158.8,6.298,0.0,0.063,0.9088072999729775,0
mih,sift_half,500000,8,1226.7,0.815,0.0,0.008,0.7244040999794379,0
linear_scan,sift_half,500000,12,1587.5,0.63,9.6,0.006,0.6999701000167988,0
qadp_normal,sift_half,500000,12,98.9,10.11,5.7,0.101,0.9367983000120148,0
qadp_small,sift_half,500000,12,182.9,5.467,0.2,0.055,0.8951790999853984,0
mih,sift_half,500000,12,1020.8,0.98,9.6,0.01,0.7180865000118501,0
linear_scan,sift_half,500000,16,1837.8,0.544,203.4,0.005,0.6968526000273414,0
qadp_normal,sift_half,500000,16,61.3,16.309,107.5,0.163,0.9996343000093475,0
qadp_small,sift_half,500000,16,176.2,5.675,9.3,0.057,0.8972393999574706,0
mih,sift_half,500000,16,563.5,1.775,203.4,0.018,0.7363890999695286,0
linear_scan,sift_half,500000,20,1623.2,0.616,2071.2,0.006,0.7130439000320621,0
qadp_normal,sift_half,500000,20,54.9,18.225,1184.6,0.182,1.034747400030028,0
qadp_small,sift_half,500000,20,168.4,5.938,47.7,0.059,0.9093028000206687,0
mih,sift_half,500000,20,594.4,1.682,2071.2,0.017,0.7226312999846414,0
linear_scan,sift,1000000,2,1008.5,0.992,0.0,0.01,1.4060742000001483,0
qadp_normal,sift,1000000,2,134.8,7.418,0.0,0.074,1.7753491000039503,0
qadp_small,sift,1000000,2,81.4,12.279,0.0,0.123,1.8057948000496253,0
mih,sift,1000000,2,620.9,1.61,0.0,0.016,1.4078952000127174,0
linear_scan,sift,1000000,4,985.3,1.015,0.0,0.01,1.403328699991107,0
qadp_normal,sift,1000000,4,134.9,7.414,0.0,0.074,1.7712868000380695,0
qadp_small,sift,1000000,4,90.0,11.11,0.0,0.111,1.7999343000119552,0
mih,sift,1000000,4,624.4,1.601,0.0,0.016,1.4087102999910712,0
linear_scan,sift,1000000,6,983.0,1.017,0.1,0.01,1.3982073000515811,0
qadp_normal,sift,1000000,6,121.3,8.242,0.1,0.082,1.7897510000038892,0
qadp_small,sift,1000000,6,79.8,12.536,0.0,0.125,1.807774699991569,0
mih,sift,1000000,6,627.7,1.593,0.1,0.016,1.4174210000201128,0
linear_scan,sift,1000000,8,997.8,1.002,0.3,0.01,1.4014755000243895,0
qadp_normal,sift,1000000,8,86.3,11.589,0.2,0.116,1.8131772000342607,0
qadp_small,sift,1000000,8,83.4,11.996,0.1,0.12,1.7791245999978855,0
mih,sift,1000000,8,552.7,1.809,0.3,0.018,1.4068606000510044,0
linear_scan,sift,1000000,12,915.3,1.092,20.7,0.011,1.4004748999723233,0
qadp_normal,sift,1000000,12,45.6,21.95,10.6,0.22,1.921165200008545,0
qadp_small,sift,1000000,12,77.7,12.865,1.0,0.129,1.8381741000339389,0
mih,sift,1000000,12,544.8,1.835,20.7,0.018,1.4171152000199072,0
linear_scan,sift,1000000,16,849.0,1.178,454.5,0.012,1.3997167000197805,0
qadp_normal,sift,1000000,16,28.6,34.929,287.5,0.349,2.0393893000436947,0
qadp_small,sift,1000000,16,71.1,14.068,21.1,0.141,1.8245386999915354,0
mih,sift,1000000,16,310.0,3.226,454.5,0.032,1.43303009995725,0
linear_scan,sift,1000000,20,883.7,1.132,4489.0,0.011,1.4036241000285372,0
qadp_normal,sift,1000000,20,26.5,37.783,2531.5,0.378,2.0720525999786332,0
qadp_small,sift,1000000,20,78.4,12.756,115.4,0.128,1.8095356000121683,0
mih,sift,1000000,20,304.7,3.282,4489.0,0.033,1.4293119000503793,0
